CodiceTipoAttivita	Codice	Descrizione	Tipo	Fase	PerOgniAttrezzaturaTipo	Reparto	Grandezza	UnitaMisura	LimiteMin	LimiteMax	Frequenza	OrarioAtteso1	OrarioAtteso2	AzioneCorrettiva	RichiedeFoto	RichiedeFirma	ParametroRichiesto	Ordine
RC	ABB-03	Congelamento in abbattitore	CCP	abbattimento	abbattitore	CUC	temperatura	C		-18	ad evento			Il cuore deve raggiungere -18 entro 4 ore. Etichettare con data di congelamento e lotto interno. Oltre i tempi, non congelare: consumare.	No	No	Abbattimento	330
RC	MAN-01	Mantenimento a caldo	CCP	mantenimento		CUC	temperatura	C	63		giornaliera	12:00	19:30	Sotto +63 rigenerare subito portando a +75 al cuore, oppure eliminare se la permanenza e stata superiore a 2 ore.	No	No		400
RC	MAN-02	Mantenimento a freddo in vetrina	CP	mantenimento	vetrina	SAL	temperatura	C	0	4	giornaliera	12:00	19:30	Sopra +4 ridurre il carico, verificare l esposizione al sole e le prese d aria. Sopra +10 il prodotto si elimina.	No	No		410
RC	RIG-01	Rigenerazione	CCP	rigenerazione		CUC	temperatura	C	75		ad evento			Portare rapidamente a +75 al cuore. Non rigenerare due volte lo stesso prodotto: si elimina.	No	No		420
RC	BON-01	Bonifica del pesce destinato al consumo crudo	CCP	bonifica		CEP	tempo	ore	24		ad evento			Almeno -20 gradi per 24 ore in tutte le parti del prodotto, oppure -35 per 15 ore. Senza bonifica il prodotto non puo essere servito crudo o marinato. Indicare il trattamento nel menu.	Si	Si	BonificaPesce	430
RC	FRI-01	Composti polari olio di frittura	CP	frittura	friggitrice	CUC	percentuale	%		25	settimanale			Oltre il 25 per cento sostituire integralmente l olio, registrare il cambio e conferire l esausto alla ditta autorizzata.	No	No	Frittura	500
RC	FRI-02	Sostituzione olio e pulizia friggitrice	PRP	frittura	friggitrice	CUC	visivo				ad evento			Filtrare a fine servizio, sostituire quando l olio scurisce, schiuma o fuma. Registrare quantita e ditta di ritiro.	No	No	Frittura	510
RC	SAN-01	Verifica visiva dell esito della sanificazione	PRP	sanificazione		CUC	visivo				giornaliera			Ripetere la pulizia sui punti non conformi. Verificare dosaggio e tempo di contatto del disinfettante.	No	No		600
RC	INF-01	Controllo postazioni e trappole antinfestanti	PRP	altro		MAG	visivo				mensile			In presenza di tracce chiamare subito la ditta di disinfestazione e aprire non conformita. Verificare la chiusura dei contenitori.	Si	No		610
RC	INF-02	Integrita di zanzariere, chiusure e sifoni	PRP	altro		CUC	visivo				mensile			Riparare o sostituire. Le aperture verso l esterno vanno sempre protette nella stagione calda.	No	No		620
RC	PER-01	Igiene e abbigliamento del personale	PRP	altro		CUC	visivo				giornaliera			Richiamare l operatore, fornire il vestiario mancante. Ripetere la formazione se si ripete.	No	No		700
RC	PER-02	Formazione del personale in corso di validita	PRP	altro		CUC	visivo				annuale			Iscrivere al corso di aggiornamento prima della scadenza. Un operatore senza formazione valida non lavora sugli alimenti.	No	No		710
RC	ATT-01	Taratura dei termometri	PRP	altro		CUC	visivo				annuale			Verifica in acqua e ghiaccio fondente a 0 gradi. Se lo scostamento supera 1 grado, tarare o sostituire lo strumento.	No	No		800
RC	ATT-02	Manutenzione programmata attrezzature del freddo	PRP	altro		CUC	visivo				annuale			Contratto con ditta esterna. Conservare il rapporto di intervento e programmare la scadenza successiva.	No	No		810
RC	ACQ-01	Potabilita dell acqua	PRP	altro		CUC	visivo				annuale			In caso di esito sfavorevole sospendere l uso dell acqua, informare la ASL e adottare la fonte alternativa.	No	No	AnalisiAcqua	900
RC	TAM-01	Tamponi superficiali di verifica	PRP	altro		CUC	visivo				semestrale			Esito sfavorevole: rivedere il piano di sanificazione del punto interessato e ripetere il tampone.	No	No		910
RC	CAM-01	Conservazione dei campioni pasto	PRP	altro		CUC	visivo				giornaliera			Conservare 100 grammi per preparazione a +4 o congelati per 72 ore, etichettati con data e piatto.	No	No	CampioniPasto	920
RC	ALL-01	Aggiornamento della scheda allergeni del menu	PRP	altro		SAL	visivo				mensile			Alla modifica di una ricetta o di un fornitore, ricontrollare gli allergeni e ristampare la scheda esposta.	No	No	Ricette	930
RC	RIF-01	Gestione rifiuti e oli esausti	PRP	altro		RIF	visivo				settimanale			Contenitori chiusi e puliti, locale rifiuti lavato. Conservare i formulari di ritiro degli oli esausti.	No	No		940
